policy,sigma,episode,reset_seed,reward,steps,success,max_force,mean_force,violation_rate,pre_frac,contact_frac,manip_frac,manip_entered,near_object_frac,safe_contact_ratio,safe_contact_per_near,contact_avoidance_index,grasp_detected_frac,lift_active_frac,close_active_frac,min_dist
SACV_2M,0.0,0,0,2175.5864136375258,500,1.0,21.019423769627064,5.9555048720164185,0.192,0.01,0.024,0.942,1.0,0.976,0.25,0.006147540983606557,0.9938524590163934,0.0,0.0,0.0,0.006660555162733291
SACV_2M,0.0,1,1,2106.2434584979624,500,1.0,48.81646252365292,5.411295744567992,0.002,0.01,0.022,0.946,1.0,0.978,0.6363636363636364,0.014314928425357873,0.9856850715746421,0.0,0.0,0.0,0.009926454789669076
SACV_2M,0.0,2,2,2167.8692189995268,500,1.0,23.9915729301895,5.330962362496646,0.002,0.008,0.026,0.95,1.0,0.984,0.23076923076923078,0.006097560975609756,0.9939024390243902,0.0,0.0,0.0,0.009692061500313664
SACV_2M,0.0,3,3,2132.391084448323,500,1.0,30.685587448368654,5.639921817327851,0.0,0.006,0.022,0.956,1.0,0.984,0.2727272727272727,0.006097560975609756,0.9939024390243902,0.0,0.0,0.0,0.004143082993867609
SACV_2M,0.0,4,4,1151.1765393239973,500,0.0,66.13524187651863,7.072613785236064,0.02,0.078,0.046,0.516,1.0,0.64,0.17391304347826086,0.0125,0.9875,0.0,0.0,0.0,0.01429175250359179
SACV_2M,0.0,5,5,2150.766962751487,500,1.0,28.13115493833589,5.509743328129462,0.002,0.008,0.024,0.956,1.0,0.988,0.5,0.012145748987854251,0.9878542510121457,0.0,0.0,0.0,0.003465281163149559
SACV_2M,0.0,6,6,2111.5162880292046,500,1.0,40.72078196595528,5.631285918532518,0.004,0.01,0.028,0.944,1.0,0.982,0.14285714285714285,0.004073319755600814,0.9959266802443992,0.0,0.0,0.0,0.006868580704917054
SACV_2M,0.0,7,7,2126.211666248939,500,1.0,59.98237080817288,5.628100431465336,0.014,0.012,0.022,0.952,1.0,0.986,0.18181818181818182,0.004056795131845842,0.9959432048681541,0.0,0.0,0.0,0.002918117303206726
SACV_2M,0.0,8,8,248.93895993527508,500,0.0,72.20223675378153,3.9664347197507266,0.042,0.104,0.126,0.116,1.0,0.346,0.30158730158730157,0.10982658959537572,0.8901734104046243,0.0,0.0,0.0,0.01602490472417071
SACV_2M,0.0,9,9,37.089632505027346,500,0.0,71.88422433980797,1.5649548265334234,0.086,0.068,0.054,0.024,0.0,0.146,0.07407407407407407,0.0273972602739726,0.9726027397260274,0.0,0.0,0.0,0.018731765269630656
SACV_2M,0.0,10,10,2156.2960164030783,500,1.0,46.77669707802647,8.78710564184191,0.0,0.01,0.026,0.944,1.0,0.98,0.46153846153846156,0.012244897959183673,0.9877551020408163,0.0,0.0,0.0,0.014010096455294207
SACV_2M,0.0,11,11,2151.431790674446,500,1.0,57.27050663000626,6.8134014677892605,0.004,0.016,0.018,0.954,1.0,0.988,0.3333333333333333,0.006072874493927126,0.9939271255060729,0.0,0.0,0.0,0.0025414389680234457
SACV_2M,0.0,12,12,2199.8188356746828,500,1.0,39.73949117049187,5.750207824046247,0.182,0.006,0.022,0.954,1.0,0.982,0.09090909090909091,0.002036659877800407,0.9979633401221996,0.0,0.0,0.0,0.001136075485227608
SACV_2M,0.0,13,13,2138.0120392474228,500,1.0,58.13011703293499,5.806879215302564,0.002,0.006,0.026,0.952,1.0,0.984,0.3076923076923077,0.008130081300813009,0.991869918699187,0.0,0.0,0.0,0.004446385819396681
SACV_2M,0.0,14,14,2206.901985233273,500,1.0,37.977904116691406,5.13928333008927,0.144,0.006,0.022,0.958,1.0,0.986,0.09090909090909091,0.002028397565922921,0.9979716024340771,0.0,0.0,0.0,0.00681444102666126
SACV_2M,0.0,15,15,2120.0367070454045,500,1.0,63.51434008149491,7.6340911363774895,0.004,0.014,0.022,0.948,1.0,0.984,0.45454545454545453,0.01016260162601626,0.9898373983739838,0.0,0.0,0.0,0.0038823875801149944
SACV_2M,0.0,16,16,2146.7983367356915,500,1.0,56.16989324348891,5.667761172420612,0.002,0.006,0.024,0.956,1.0,0.986,0.16666666666666666,0.004056795131845842,0.9959432048681541,0.0,0.0,0.0,0.0027024368253307867
SACV_2M,0.0,17,17,2156.8327768236195,500,1.0,36.5028887899858,8.013653915311602,0.0,0.006,0.022,0.956,1.0,0.984,0.5454545454545454,0.012195121951219513,0.9878048780487805,0.0,0.0,0.0,0.01186806904054358
SACV_2M,0.0,18,18,2144.2793348251466,500,1.0,30.182224506009224,5.083061633997603,0.006,0.008,0.028,0.952,1.0,0.988,0.5,0.01417004048582996,0.9858299595141701,0.0,0.0,0.0,0.008878074923675127
SACV_2M,0.0,19,19,2127.412963392265,500,1.0,30.971520106967855,6.500452441165923,0.0,0.008,0.026,0.952,1.0,0.986,0.6153846153846154,0.016227180527383367,0.9837728194726166,0.0,0.0,0.0,0.0019405560089586931
SACV_2M,0.0,20,20,34.59738805524194,500,0.0,92.10099585568902,3.7179277687068746,0.046,0.116,0.188,0.0,0.0,0.304,0.574468085106383,0.35526315789473684,0.6447368421052632,0.0,0.0,0.0,0.0359769784669582
SACV_2M,0.0,21,21,2105.250850087893,500,1.0,56.167449424943904,5.32412425388593,0.004,0.01,0.032,0.942,1.0,0.984,0.3125,0.01016260162601626,0.9898373983739838,0.0,0.0,0.0,0.009923476959745324
SACV_2M,0.0,22,22,420.3012653763481,500,0.0,67.31331847434755,3.478249023333354,0.148,0.11,0.122,0.174,1.0,0.406,0.39344262295081966,0.11822660098522167,0.8817733990147784,0.0,0.0,0.0,0.01252122219411848
SACV_2M,0.0,23,23,134.9168020951981,500,0.0,66.20166929283936,3.8187701789403214,0.03,0.01,0.106,0.064,1.0,0.18,0.5660377358490566,0.3333333333333333,0.6666666666666667,0.0,0.0,0.0,0.01926633932208542
SACV_2M,0.0,24,24,1888.1232017709522,500,0.0,34.98126976573347,5.437505370286252,0.034,0.006,0.016,0.796,1.0,0.818,0.25,0.004889975550122249,0.9951100244498777,0.0,0.0,0.0,0.019503486592356678
SACV_2M,0.0,25,25,2134.6982593468715,500,1.0,32.0516723967809,5.663048608413617,0.0,0.008,0.018,0.96,1.0,0.986,0.2222222222222222,0.004056795131845842,0.9959432048681541,0.0,0.0,0.0,0.005265289130281538
SACV_2M,0.0,26,26,2083.509474328034,500,1.0,21.257683627077995,4.769444733701475,0.006,0.014,0.032,0.934,1.0,0.98,0.375,0.012244897959183673,0.9877551020408163,0.0,0.0,0.0,0.009764074910321208
